link;title;address;price;m2;num_rooms
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/-neu-top-sanierter-neubau-erstbezug-nahe-dem-donauufer-optimaler-grundriss-4-zimmer-mit-offener-kueche-663078967/;++NEU++ TOP-sanierter Neubau-ERSTBEZUG nahe dem Donauufer! optimaler Grundriss, 4-Zimmer mit offener Küche!;1020 Wien, 02. Bezirk, Leopoldstadt, Machstraße;€ 475.000;88 m²;4 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/sanierte-3-zimmer-wohnung-mit-toller-infrastruktur-und-viel-wohlfuehlfaktor-979412321/;Sanierte 3-Zimmer-Wohnung mit toller Infrastruktur und viel Wohlfühlfaktor!;1030 Wien, 03. Bezirk, Landstraße;€ 549.000;90 m²;3 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1140-penzing/-neu-hochwertige-1-zimmer-altbauwohnung-mit-garten-erstbezug-663078535/;++NEU++ Hochwertige 1-Zimmer Altbauwohnung mit Garten! ERSTBEZUG!;1140 Wien, 14. Bezirk, Penzing;€ 220.000;40 m²;1 Zimmer;Garten
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1140-penzing/freundliche-und-helle-sehr-gut-geschnittene-3-zimmerwohnung-mit-ruhigem-innenhof-und-balkon-963012423/;Freundliche und helle sehr gut geschnittene 3-Zimmerwohnung mit ruhigem Innenhof und Balkon!;1140 Wien, 14. Bezirk, Penzing, Beckmanngasse 9A;€ 272.000;75 m²;3 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1120-meidling/sanierungsbeduerftig-oder-saniert-sie-entscheiden-969397148/;SANIERUNGSBEDÜRFTIG ODER SANIERT? SIE ENTSCHEIDEN!;1120 Wien, 12. Bezirk, Meidling;€ 240.000;64 m²;2 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1130-hietzing/ruheoase-3-zimmer-wohnung-beim-lainzer-tiergarten-1673464719/;Ruheoase, 3 Zimmer Wohnung beim Lainzer Tiergarten;1130 Wien, 13. Bezirk, Hietzing, Seuttergasse;€ 350.000;72 m²;3 Zimmer;Garten
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1230-liesing/neubauwohnung-mit-2-balkone-2040809701/;NEUBAUWOHNUNG MIT 2 BALKONE;1230 Wien, 23. Bezirk, Liesing;€ 478.300;73 m²;3 Zimmer;Balkon, Dachterrasse, Garten
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1230-liesing/neubauwohnung-mit-exklusiver-austattung-1717659982/;NEUBAUWOHNUNG MIT EXKLUSIVER AUSTATTUNG;1230 Wien, 23. Bezirk, Liesing;€ 228.100;39 m²;2 Zimmer;Dachterrasse, Garten
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1230-liesing/neubauwohnung-mit-exklusiver-austattung-2029874694/;NEUBAUWOHNUNG MIT EXKLUSIVER AUSTATTUNG;1230 Wien, 23. Bezirk, Liesing;€ 224.800;38 m²;2 Zimmer;Dachterrasse, Garten
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1230-liesing/neubauwohnung-mit-2-balkone-1677918892/;NEUBAUWOHNUNG MIT 2 BALKONE;1230 Wien, 23. Bezirk, Liesing;€ 475.000;73 m²;3 Zimmer;Balkon, Dachterrasse, Garten
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1230-liesing/neubauwohnung-mit-2-balkone-801844955/;NEUBAUWOHNUNG MIT 2 BALKONE;1230 Wien, 23. Bezirk, Liesing;€ 488.300;73 m²;3 Zimmer;Balkon, Dachterrasse, Garten
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1230-liesing/neubauwohnung-mit-exklusiver-austattung-2106684614/;NEUBAUWOHNUNG MIT EXKLUSIVER AUSTATTUNG;1230 Wien, 23. Bezirk, Liesing;€ 227.800;39 m²;2 Zimmer;Dachterrasse, Garten
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1230-liesing/dg-wohnung-dachterrasse-1532926382/;DG-WOHNUNG + DACHTERRASSE;1230 Wien, 23. Bezirk, Liesing;€ 638.700;85 m²;3 Zimmer;Terrasse, Loggia, Dachterrasse, Garten
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1170-hernals/hoechster-wohnkomfort-in-top-lage-fertigstellung-q1-2026-1905498443/;Höchster Wohnkomfort in Top Lage! Fertigstellung Q1 2026;1170 Wien, 17. Bezirk, Hernals;€ 549.000;77 m²;3 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1040-wieden/zentrale-familienwohnung-mit-klassischer-altbaucharme-und-idealer-infrastruktur-1669724897/;Zentrale Familienwohnung mit klassischer Altbaucharme und idealer Infrastruktur;1040 Wien, 04. Bezirk, Wieden;€ 759.000;105 m²;4 Zimmer
