broker,share
julian himmelbauer,0.0015323863971238286
yildiz maria kabourek,0.001473448458772912
patrick winkler,0.001473448458772912
consulting company,0.001473448458772912
philipp buchholtz,0.001473448458772912
baris basaran,0.001473448458772912
deniz canakli,0.001473448458772912
"mag. philipp sedlar, mba",0.0014145105204219955
sia hyatt,0.0014145105204219955
andrea pöchhacker; msc,0.0014145105204219955
mag. michaela sauer,0.0014145105204219955
asw immobilien service & consulting gmbh firmensitz wien,0.0014145105204219955
alexander jaksch,0.0014145105204219955
bernhard stachl,0.0014145105204219955
jeremy feist,0.0013555725820710793
gabriele bors,0.0013555725820710793
anita bayer,0.0013555725820710793
milica cvetkovic,0.0013555725820710793
value one,0.0013555725820710793
ps immo,0.0013555725820710793
mag. michael skolet,0.0013555725820710793
"dejan cvetkovic,dipl.bo",0.0012966346437201627
mag. (fh) markus verner,0.0012966346437201627
sabine anzeletti,0.0012966346437201627
frau elisabeth papsch und herr massimo saccomanno,0.0012966346437201627
alexander hamersky,0.0012966346437201627
maria kohler,0.0012966346437201627
mariella gruber,0.0012966346437201627
elijah euler-rolle,0.0012376967053692462
laurenz schnitzer,0.0012376967053692462
dominik wurm-beinhofer,0.0012376967053692462
dr. claudia bonk,0.0012376967053692462
mag. marina eiffe,0.0012376967053692462
maximilian schandl,0.0012376967053692462
julia trimmel,0.0012376967053692462
adam brandis,0.0012376967053692462
maximilian henn,0.0011787587670183297
mag. michael leber,0.0011787587670183297
mag. christina baumgartner,0.0011787587670183297
aurelium real estate,0.0011787587670183297
mag. irene kueß,0.0011787587670183297
josephiné zender,0.0011787587670183297
mark prettenthaler,0.0011787587670183297
pauline socha,0.0011198208286674132
mag. verena brand,0.0011198208286674132
nicolas krenkel,0.0011198208286674132
jana koch,0.0011198208286674132
dr. de colle,0.0011198208286674132
mag. viola wasmuth,0.0011198208286674132
larissa abramov,0.0011198208286674132
serkan geyik,0.0011198208286674132
tristar immobilien,0.0010608828903164967
robert huber,0.0010608828903164967
"mag. pamela zoidl, wiener immobilien real estate",0.0010608828903164967
manuel plachner,0.0010608828903164967
auritas,0.0010608828903164967
danijel markovic,0.0010608828903164967
fa. agoreal,0.0010608828903164967
nebojsa stanisljevic,0.0010608828903164967
alicia knam,0.0010608828903164967
martina abiodun-regenfelder,0.0010608828903164967
snezana benes,0.0010019449519655802
"stjepan babic, ba ma",0.0010019449519655802
"sebastian huppmann, ma",0.0010019449519655802
strabag real estate gmbh,0.0010019449519655802
aurelie immobilien team,0.0010019449519655802
radnusch tabrizi,0.0010019449519655802
kateryna skora,0.0010019449519655802
gabriele glombitza,0.0010019449519655802
mag. robin kalandra,0.0010019449519655802
isabella budin,0.0010019449519655802
mag. damian ferenc,0.0010019449519655802
anastasiia tomilovych,0.0010019449519655802
andrej jokic,0.0010019449519655802
ihr helio tower vertriebsteam,0.0009430070136146638
karina trebos,0.0009430070136146638
alexandra trenz,0.0009430070136146638
gudrun bogner,0.0009430070136146638
caroline asen / david breitwieser,0.0009430070136146638
ines guelmami,0.0009430070136146638
alexander ringsmuth,0.0009430070136146638
karolina demic,0.0009430070136146638
wolfgang tröscher,0.0009430070136146638
tadeas lansky,0.0009430070136146638
manuel hacker,0.0009430070136146638
marina malaiev,0.0009430070136146638
mag. alexander kepka,0.0009430070136146638
michael steffek,0.0009430070136146638
meska modis,0.0008840690752637473
"ing.dragan cvetkovic, akad.im",0.0008840690752637473
michael nemetz,0.0008840690752637473
marija ivanov,0.0008840690752637473
maximilian schötta,0.0008840690752637473
mag. bettina zaininger,0.0008840690752637473
patrick guldenbrein,0.0008840690752637473
projektteam schlosspark freihof,0.0008840690752637473
ari abramov,0.0008251311369128308
verkaufsteam zima wien,0.0008251311369128308
ilana meirov,0.0008251311369128308
rami mansour,0.0008251311369128308
thomas berger,0.0008251311369128308
verkaufsteam j. lehner bauges.m.b.h,0.0008251311369128308
mag. mario rauch,0.0008251311369128308
di (fh) axel bernd-kostner,0.0008251311369128308
"natalia ricordati, bsc.",0.0008251311369128308
dipl.-ing. johannes qiu,0.0008251311369128308
"mag. elisabeth thurner-grössinger,mba",0.0008251311369128308
mag. günther wohlgenannt,0.0008251311369128308
alexander pluskota ma cis immozert,0.0008251311369128308
christopher ganster,0.0008251311369128308
rene felix,0.0008251311369128308
marion hinterreiter,0.0007661931985619143
andrea eisner,0.0007661931985619143
mag. michael hofer,0.0007661931985619143
mag.(fh) harald grassler,0.0007661931985619143
kerstin fried,0.0007661931985619143
ildiko pari,0.0007661931985619143
christian schwöglhofer,0.0007661931985619143
sarah el sayed,0.0007661931985619143
samet erdinc,0.0007661931985619143
daniel hausberger,0.0007661931985619143
moshe megre,0.0007072552602109978
doris pfandler,0.0007072552602109978
yunna zelenkova,0.0007072552602109978
philipp trattner,0.0007072552602109978
christian zellmann,0.0007072552602109978
j&p immobilienmakler gmbh,0.0007072552602109978
laura spallek,0.0007072552602109978
peter fleischmann,0.0007072552602109978
evelyn steiner,0.0007072552602109978
matthias fischer,0.0007072552602109978
christina nikocev,0.0007072552602109978
nedeljko bakic,0.0007072552602109978
philip korotyschev,0.0007072552602109978
felix kunej,0.0007072552602109978
mira bidlas,0.0007072552602109978
yeliz lav,0.0007072552602109978
denis omerovic,0.0007072552602109978
"patrick spreitzer, ba, ma",0.0007072552602109978
